"election_id","enp","largest_party_share","election_date","country","gov_start","election_date_cab","days_to_form","log_days","year"
512,4.53719500838145,0.320916905444126,2010-09-19,"SWE",2010-09-19,2010-09-19,0,0,2010
518,2.90909090909091,0.416666666666667,1989-06-18,"GRC",NA,NA,NA,NA,1989
519,5.56488549618321,0.259259259259259,2004-06-13,"NLD",NA,NA,NA,NA,2004
523,4.1400999483026,0.4,1973-09-09,"NOR",1973-10-16,1973-09-09,37,3.63758615972639,1973
527,4.9480455220188,0.28,1987-03-16,"FIN",1987-04-30,1987-03-16,45,3.8286413964891,1987
530,6.74460431654676,0.206666666666667,2010-06-09,"NLD",2010-10-14,2010-06-09,127,4.85203026391962,2010
535,3.55555555555556,0.416666666666667,1987-07-19,"PRT",NA,NA,NA,NA,1987
540,2.94412736557525,0.404040404040404,1994-06-12,"DEU",NA,NA,NA,NA,1994
547,2.9648314188662,0.438631790744467,1980-10-05,"DEU",1980-11-05,1980-10-05,31,3.46573590279973,1980
549,3.60500695410292,0.402777777777778,2009-06-07,"ITA",NA,NA,NA,NA,2009
551,6.0889175257732,0.271428571428571,1996-04-21,"ITA",1996-05-18,1996-04-21,27,3.3322045101752,1996
557,3.1523642732049,0.466666666666667,1987-06-10,"ESP",NA,NA,NA,NA,1987
563,5.11591888871148,0.290502793296089,2005-02-08,"DNK",2005-02-18,2005-02-08,10,2.39789527279837,2005
570,5.41646605681271,0.246666666666667,1994-05-03,"NLD",1994-08-22,1994-05-03,111,4.71849887129509,1994
571,4.23471768548763,0.381818181818182,1989-09-11,"NOR",1989-10-16,1989-09-11,35,3.58351893845611,1989
578,5.53914327917282,0.273333333333333,2006-11-22,"NLD",2007-02-22,2006-11-22,92,4.53259949315326,2006
585,3.05671641791045,0.421875,1999-06-13,"ESP",NA,NA,NA,NA,1999
587,3.49162011173184,0.4,1989-06-18,"NLD",NA,NA,NA,NA,1989
588,3.47151912076792,0.374245472837022,1987-01-25,"DEU",1987-03-11,1987-01-25,45,3.8286413964891,1987
590,2.96875673346262,0.463855421686747,1989-06-15,"IRL",1989-07-12,1989-06-15,27,3.3322045101752,1989
592,3.45430809399478,0.412698412698413,1999-05-08,"ISL",1999-05-28,1999-05-08,20,3.04452243772342,1999
595,3.445890881343,0.375,1994-10-16,"DEU",1994-11-17,1994-10-16,32,3.49650756146648,1994
596,2.34999216669278,0.57,1977-11-20,"GRC",1977-11-28,1977-11-20,8,2.19722457733622,1977
597,5.27076821845698,0.312849162011173,1984-01-10,"DNK",1984-01-10,1984-01-10,0,0,1984
598,3.40859511343805,0.404,1983-04-25,"PRT",1983-06-09,1983-04-25,45,3.8286413964891,1983
